SalesOrderNumber,SalesOrderLineNumber,OrderDate,CustomerName,EmailAddress,Item,Quantity,UnitPrice,TaxAmount
SO45697,1,2024-02-15,Mya Gonzales,mya17@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45690,1,2024-02-14,Erika Romero,erika6@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45689,1,2024-02-14,Ricky Gutierrez,ricky11@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45685,1,2024-02-14,Adrienne Blanco,adrienne12@adventure-works.com,"Road-650 Red, 60",1,699.0982,55.9279
SO45684,1,2024-02-14,Donald Chandra,donald4@adventure-works.com,"Mountain-100 Silver, 42",1,3399.99,271.9992
SO45691,1,2024-02-14,Angela Henderson,angela7@adventure-works.com,"Mountain-100 Silver, 38",1,3399.99,271.9992
SO45683,1,2024-02-14,Ian Martin,ian14@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45688,1,2024-02-14,Emma Cooper,emma35@adventure-works.com,"Road-650 Red, 58",1,699.0982,55.9279
SO45687,1,2024-02-14,Elizabeth Clark,elizabeth23@adventure-works.com,"Mountain-100 Silver, 38",1,3399.99,271.9992
SO45686,1,2024-02-14,Richard Rivera,richard89@adventure-works.com,"Mountain-100 Silver, 44",1,3399.99,271.9992
SO45679,1,2024-02-13,Alberto Navarro,alberto11@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45678,1,2024-02-13,Megan Barnes,megan53@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45680,1,2024-02-13,Haley Torres,haley14@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45681,1,2024-02-13,Gloria Munoz,gloria7@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45682,1,2024-02-13,Ronnie Lu,ronnie9@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45673,1,2024-02-12,Amy Wu,amy14@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45674,1,2024-02-12,Lacey Hu,lacey33@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45672,1,2024-02-12,Shannon Hu,shannon19@adventure-works.com,"Road-650 Black, 48",1,699.0982,55.9279
SO45675,1,2024-02-12,Toni Patel,toni2@adventure-works.com,"Road-650 Black, 48",1,699.0982,55.9279
SO45677,1,2024-02-12,Dustin Chander,dustin16@adventure-works.com,"Mountain-100 Black, 38",1,3374.99,269.9992
SO45668,1,2024-02-12,Jon Luo,jon46@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45671,1,2024-02-12,Mariah Wood,mariah6@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45676,1,2024-02-12,Marc Torres,marc15@adventure-works.com,"Mountain-100 Black, 42",1,3374.99,269.9992
SO45669,1,2024-02-12,Joan Washington,joan7@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45670,1,2024-02-12,Aidan Ross,aidan4@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45665,1,2024-02-11,Arthur Washington,arthur45@adventure-works.com,"Mountain-100 Silver, 44",1,3399.99,271.9992
SO45664,1,2024-02-11,Jon Ye,jon29@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45666,1,2024-02-11,Ethan Garcia,ethan52@adventure-works.com,"Road-650 Red, 44",1,699.0982,55.9279
SO45667,1,2024-02-11,Arthur Mehta,arthur16@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45661,1,2024-02-10,Karla Nara,karla18@adventure-works.com,"Road-650 Black, 52",1,699.0982,55.9279
SO45660,1,2024-02-10,Clarence Liu,clarence40@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45656,1,2024-02-10,Sean Brooks,sean8@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45655,1,2024-02-10,Jose Patterson,jose33@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45657,1,2024-02-10,Taylor Howard,taylor14@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45658,1,2024-02-10,Robert Lee,robert82@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45663,1,2024-02-10,Stacy Alvarez,stacy6@adventure-works.com,"Mountain-100 Silver, 48",1,3399.99,271.9992
SO45662,1,2024-02-10,Gabriella Sanders,gabriella1@adventure-works.com,"Mountain-100 Black, 44",1,3374.99,269.9992
SO45654,1,2024-02-10,Riley Long,riley7@adventure-works.com,"Mountain-100 Black, 38",1,3374.99,269.9992
SO45659,1,2024-02-10,Denise Subram,denise14@adventure-works.com,"Mountain-100 Black, 42",1,3374.99,269.9992
SO45650,1,2024-02-09,Mariah Murphy,mariah39@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45649,1,2024-02-09,Jade Bailey,jade13@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45653,1,2024-02-09,Jessie Ramos,jessie36@adventure-works.com,"Mountain-100 Silver, 48",1,3399.99,271.9992
SO45651,1,2024-02-09,Tasha Jai,tasha12@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45652,1,2024-02-09,Nathaniel Watson,nathaniel1@adventure-works.com,"Road-650 Black, 60",1,699.0982,55.9279
SO45648,1,2024-02-08,Warren Zhou,warren24@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45645,1,2024-02-08,Adrienne Torres,adrienne8@adventure-works.com,"Mountain-100 Black, 48",1,3374.99,269.9992
SO45646,1,2024-02-08,Maria Carter,maria53@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45643,1,2024-02-08,Douglas Kapoor,douglas5@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45647,1,2024-02-08,Katherine Wright,katherine68@adventure-works.com,"Mountain-100 Silver, 48",1,3399.99,271.9992
SO45644,1,2024-02-08,Casey She,casey0@adventure-works.com,"Mountain-100 Black, 44",1,3374.99,269.9992
SO45642,1,2024-02-07,Angela Perry,angela10@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45641,1,2024-02-07,Byron Ortega,byron16@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45639,1,2024-02-06,Derek Shan,derek9@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45640,1,2024-02-06,Gloria Alonso,gloria8@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45635,1,2024-02-06,Lucas Sanchez,lucas88@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45636,1,2024-02-06,Spencer Russell,spencer22@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45637,1,2024-02-06,Ariana Cook,ariana19@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45638,1,2024-02-06,Courtney Nelson,courtney7@adventure-works.com,"Road-650 Red, 62",1,699.0982,55.9279
SO45633,1,2024-02-05,Daisuke Yanagishima,daisuke0@adventure-works.com,"Mountain-100 Black, 48",1,3374.99,269.9992
SO45632,1,2024-02-05,Bonnie Xie,bonnie8@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45631,1,2024-02-05,Clarence Anand,clarence36@adventure-works.com,"Mountain-100 Black, 44",1,3374.99,269.9992
SO45634,1,2024-02-05,Edwin Lin,edwin8@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45627,1,2024-02-04,Logan Clark,logan71@adventure-works.com,"Road-650 Red, 62",1,699.0982,55.9279
SO45628,1,2024-02-04,Casey Navarro,casey33@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45630,1,2024-02-04,Brenda Perez,brenda25@adventure-works.com,"Mountain-100 Black, 48",1,3374.99,269.9992
SO45629,1,2024-02-04,Julio Ortega,julio23@adventure-works.com,"Mountain-100 Silver, 48",1,3399.99,271.9992
SO45625,1,2024-02-04,Hunter Rodriguez,hunter53@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45624,1,2024-02-04,Jenna Wright,jenna19@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45626,1,2024-02-04,Victoria Stewart,victoria24@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45623,1,2024-02-04,Jessica Powell,jessica33@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45622,1,2024-02-04,Tamara Tang,tamara15@adventure-works.com,"Mountain-100 Silver, 38",1,3399.99,271.9992
SO45616,1,2024-02-03,Abby Arthur,abby5@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45613,1,2024-02-03,Christian Hughes,christian26@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45621,1,2024-02-03,Clayton Nara,clayton34@adventure-works.com,"Mountain-100 Silver, 44",1,3399.99,271.9992
SO45618,1,2024-02-03,Dawn Lal,dawn32@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45620,1,2024-02-03,Roy Moreno,roy27@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45619,1,2024-02-03,Alex Hill,alex42@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45615,1,2024-02-03,Gabriel Kumar,gabriel25@adventure-works.com,"Road-650 Black, 52",1,699.0982,55.9279
SO45617,1,2024-02-03,Corey Kumar,corey7@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45614,1,2024-02-03,Isaac Brooks,isaac1@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45611,1,2024-02-02,Devin Nelson,devin32@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45610,1,2024-02-02,Julia Coleman,julia72@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45612,1,2024-02-02,Crystal Gao,crystal16@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45607,1,2024-02-01,Louis Nath,louis34@adventure-works.com,"Road-650 Red, 52",1,699.0982,55.9279
SO45606,1,2024-02-01,Devon Deng,devon0@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45609,1,2024-02-01,Max Ferrier,max8@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45608,1,2024-02-01,Frank Carlson,frank26@adventure-works.com,"Mountain-100 Black, 42",1,3374.99,269.9992
SO45603,1,2024-02-01,Haley Richardson,haley10@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45604,1,2024-02-01,Victoria Russell,victoria66@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45605,1,2024-02-01,Destiny Rogers,destiny26@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45602,1,2024-02-01,Tamara Zhu,tamara3@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45595,1,2024-01-31,Shannon Huang,shannon6@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45594,1,2024-01-31,Christian Thomas,christian46@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45601,1,2024-01-31,Orlando Carlson,orlando18@adventure-works.com,"Mountain-100 Black, 38",1,3374.99,269.9992
SO45593,1,2024-01-31,Nelson Ortega,nelson21@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45597,1,2024-01-31,Jenna Scott,jenna13@adventure-works.com,"Road-650 Red, 48",1,699.0982,55.9279
SO45598,1,2024-01-31,Elijah Yang,elijah1@adventure-works.com,"Road-650 Black, 48",1,699.0982,55.9279
SO45600,1,2024-01-31,Holly Martinez,holly17@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45599,1,2024-01-31,Danny Ortega,danny23@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45596,1,2024-01-31,Jessie Gao,jessie19@adventure-works.com,"Road-650 Black, 58",1,699.0982,55.9279
SO45591,1,2024-01-30,Sebastian Torres,sebastian5@adventure-works.com,"Road-650 Red, 44",1,699.0982,55.9279
SO45590,1,2024-01-30,Roger Lu,roger16@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45589,1,2024-01-30,Christy Liu,christy4@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45592,1,2024-01-30,Orlando Ashe,orlando5@adventure-works.com,"Mountain-100 Silver, 42",1,3399.99,271.9992
SO45588,1,2024-01-30,Jenny Rai,jenny40@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45587,1,2024-01-30,Nina Yuan,nina7@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45586,1,2024-01-30,Joel Prasad,joel8@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45582,1,2024-01-29,Lucas Murphy,lucas86@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45581,1,2024-01-29,Trinity Richardson,trinity9@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45583,1,2024-01-29,Kyle Foster,kyle11@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45585,1,2024-01-29,Isaiah Ramirez,isaiah6@adventure-works.com,"Mountain-100 Black, 48",1,3374.99,269.9992
SO45580,1,2024-01-29,Cassie Andersen,cassie11@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45584,1,2024-01-29,Ronald Madan,ronald9@adventure-works.com,"Road-650 Black, 62",1,699.0982,55.9279
SO45515,1,2024-01-28,Bridget She,bridget1@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45511,1,2024-01-28,Steve Wagner,steve5@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45512,1,2024-01-28,Luis Wang,luis24@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45513,1,2024-01-28,Faith Murphy,faith32@adventure-works.com,"Mountain-100 Black, 38",1,3374.99,269.9992
SO45514,1,2024-01-28,Thomas Young,thomas53@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45508,1,2024-01-27,Roberto Sanz,roberto18@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45509,1,2024-01-27,Shaun Sharma,shaun10@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45510,1,2024-01-27,Lauren Washington,lauren60@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45502,1,2024-01-26,Timothy Young,timothy42@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45497,1,2024-01-26,Ian Wilson,ian8@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45498,1,2024-01-26,Kayla Flores,kayla36@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45496,1,2024-01-26,Rachel Cox,rachel39@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45499,1,2024-01-26,Bailey Hernandez,bailey38@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45501,1,2024-01-26,Heidi Chandra,heidi4@adventure-works.com,"Mountain-100 Black, 44",1,3374.99,269.9992
SO45505,1,2024-01-26,Carla Rana,carla13@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45506,1,2024-01-26,Franklin Sun,franklin12@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45507,1,2024-01-26,Stefanie Rana,stefanie8@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45503,1,2024-01-26,Isabella Bryant,isabella28@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45504,1,2024-01-26,Jerry Ferrier,jerry22@adventure-works.com,"Road-650 Black, 48",1,699.0982,55.9279
SO45500,1,2024-01-26,Lawrence Blanco,lawrence14@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45493,1,2024-01-25,Seth Brown,seth4@adventure-works.com,"Road-650 Red, 58",1,699.0982,55.9279
SO45495,1,2024-01-25,Krystal Gao,krystal15@adventure-works.com,"Road-650 Black, 52",1,699.0982,55.9279
SO45494,1,2024-01-25,Kari Martinez,kari18@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45492,1,2024-01-25,Jared Kelly,jared4@adventure-works.com,"Road-650 Red, 52",1,699.0982,55.9279
SO45491,1,2024-01-25,Justin Brown,justin35@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45488,1,2024-01-24,Martin Perez,martin5@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45487,1,2024-01-24,Shawna Andersen,shawna14@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45489,1,2024-01-24,Stanley Madan,stanley8@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45484,1,2024-01-24,Juan James,juan9@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45490,1,2024-01-24,Eric Foster,eric23@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45483,1,2024-01-24,Adriana Chandra,adriana2@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45486,1,2024-01-24,Dominic Srini,dominic8@adventure-works.com,"Road-650 Red, 62",1,699.0982,55.9279
SO45485,1,2024-01-24,Jacqueline Powell,jacqueline9@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45482,1,2024-01-24,Brandy Sanchez,brandy16@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45478,1,2024-01-23,Isaiah Edwards,isaiah23@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45477,1,2024-01-23,Brittney Hu,brittney19@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45479,1,2024-01-23,Sheena Deng,sheena1@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45481,1,2024-01-23,Robin Moreno,robin3@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45480,1,2024-01-23,Lawrence Gutierrez,lawrence9@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45476,1,2024-01-22,Wyatt Williams,wyatt2@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45475,1,2024-01-22,Alfredo Suarez,alfredo20@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45474,1,2024-01-22,Carl Raji,carl20@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45469,1,2024-01-22,Ethan Thompson,ethan49@adventure-works.com,"Mountain-100 Black, 44",1,3374.99,269.9992
SO45473,1,2024-01-22,Tara Xu,tara5@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45472,1,2024-01-22,Meredith Martinez,meredith17@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45468,1,2024-01-22,Kyle Bryant,kyle13@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45467,1,2024-01-22,Dustin Deng,dustin1@adventure-works.com,"Mountain-100 Silver, 42",1,3399.99,271.9992
SO45471,1,2024-01-22,Erin Cook,erin25@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45470,1,2024-01-22,Cameron Henderson,cameron0@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45466,1,2024-01-21,Meagan Prasad,meagan9@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45461,1,2024-01-20,Alexis Moore,alexis7@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45462,1,2024-01-20,Hannah Foster,hannah37@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45463,1,2024-01-20,Jonathan Hill,jonathan43@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45464,1,2024-01-20,Alvin Sharma,alvin32@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45465,1,2024-01-20,Carlos Morgan,carlos15@adventure-works.com,"Road-650 Black, 52",1,699.0982,55.9279
SO45456,1,2024-01-19,Elijah Powell,elijah12@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45460,1,2024-01-19,Julio Navarro,julio10@adventure-works.com,"Road-650 Black, 60",1,699.0982,55.9279
SO45459,1,2024-01-19,Brad Shan,brad10@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45458,1,2024-01-19,Alvin Jai,alvin33@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45455,1,2024-01-19,Ebony Garcia,ebony15@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45457,1,2024-01-19,Christian Butler,christian29@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45453,1,2024-01-18,Donna Xie,donna3@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45454,1,2024-01-18,Megan Flores,megan61@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45451,1,2024-01-17,Hailey Turner,hailey47@adventure-works.com,"Road-150 Red, 44",1,3578.27,286.2616
SO45450,1,2024-01-17,Carson Jenkins,carson5@adventure-works.com,"Road-150 Red, 48",1,3578.27,286.2616
SO45452,1,2024-01-17,Cedric Cai,cedric21@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45449,1,2024-01-17,Krista Martin,krista0@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
SO45447,1,2024-01-16,Gloria Ortega,gloria22@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45448,1,2024-01-16,Terrance Martinez,terrance15@adventure-works.com,"Road-650 Red, 62",1,699.0982,55.9279
SO45446,1,2024-01-16,Jenna Parker,jenna7@adventure-works.com,"Mountain-100 Silver, 42",1,3399.99,271.9992
SO45442,1,2024-01-15,Justin Bryant,justin15@adventure-works.com,"Road-150 Red, 56",1,3578.27,286.2616
SO45443,1,2024-01-15,Julia Thompson,julia37@adventure-works.com,"Road-150 Red, 52",1,3578.27,286.2616
SO45444,1,2024-01-15,Claudia Ye,claudia8@adventure-works.com,"Road-150 Red, 62",1,3578.27,286.2616
